ROW_TYPE,COLUMN_TYPE,ROW,ROW_BUS,COLUMN,COLUMN_BUS,VALUE
P,A,0,39,0,39,-85.323000
P,A,1,9,0,39,42.283758
P,A,2,1,0,39,43.120438
P,A,0,39,1,9,42.295059
P,A,1,9,1,9,-70.377447
P,A,38,8,1,9,28.082724
P,A,0,39,2,1,43.027940
P,A,2,1,2,1,-69.535989
P,A,36,2,2,1,26.617439
P,A,3,4,3,4,-126.726189
P,A,5,5,3,4,78.594398
P,A,37,3,3,4,48.416995
P,A,4,7,4,7,-322.604941
P,A,27,6,4,7,108.864239
P,A,38,8,4,7,213.956800
P,A,3,4,5,5,78.391289
P,A,5,5,5,5,-554.366258
P,A,27,6,5,5,387.436324
P,A,38,8,5,5,88.620211
P,A,6,32,6,32,-46.266781
P,A,7,10,6,32,46.266781
P,A,6,32,7,10,46.266781
P,A,7,10,7,10,-522.053631
P,A,23,13,7,10,237.520289
P,A,25,11,7,10,237.087761
P,A,8,12,8,12,-46.248832
P,A,23,13,8,12,23.146005
P,A,25,11,8,12,23.106693
P,A,9,34,9,34,-55.118955
P,A,10,20,9,34,54.620547
P,A,9,34,10,20,55.118955
P,A,10,20,10,20,-125.459758
P,A,12,19,10,20,71.016500
P,A,11,33,11,33,-68.769679
P,A,12,19,11,33,68.153362
P,A,10,20,12,19,70.839211
P,A,11,33,12,19,68.769679
P,A,12,19,12,19,-194.566881
P,A,19,16,12,19,54.666590
P,A,13,35,13,35,-74.884313
P,A,15,22,13,35,74.884313
P,A,14,36,14,36,-40.563810
P,A,18,23,14,36,40.358676
P,A,13,35,15,22,74.884313
P,A,15,22,15,22,-266.019701
P,A,16,21,15,22,76.579957
P,A,18,23,15,22,113.822497
P,A,15,22,16,21,77.263662
P,A,16,21,16,21,-155.347521
P,A,19,16,16,21,78.376354
P,A,17,24,17,24,-211.553322
P,A,18,23,17,24,30.881979
P,A,19,16,17,24,181.074450
P,A,14,36,18,23,40.563810
P,A,15,22,18,23,113.871725
P,A,17,24,18,23,30.440430
P,A,18,23,18,23,-185.063152
P,A,12,19,19,16,55.397019
P,A,16,21,19,16,78.767564
P,A,17,24,19,16,181.112892
P,A,19,16,19,16,-544.205666
P,A,21,15,19,16,110.240916
P,A,39,17,19,16,119.002103
P,A,20,102,20,102,-9.999152
P,A,22,14,20,102,9.999152
P,A,19,16,21,15,110.759561
P,A,21,15,21,15,-157.246945
P,A,22,14,21,15,47.062670
P,A,20,102,22,14,9.999152
P,A,21,15,22,14,47.006029
P,A,22,14,22,14,-157.549879
P,A,23,13,22,14,101.011206
P,A,7,10,23,13,238.071866
P,A,8,12,23,13,23.142596
P,A,22,14,23,13,100.488057
P,A,23,13,23,13,-361.677499
P,A,24,31,24,31,-36.548420
P,A,27,6,24,31,36.548420
P,A,7,10,25,11,237.714984
P,A,8,12,25,11,23.106236
P,A,25,11,25,11,-383.925295
P,A,27,6,25,11,123.152607
P,A,26,18,26,18,-208.306127
P,A,37,3,26,18,79.328835
P,A,39,17,26,18,129.245168
P,A,4,7,27,6,108.319266
P,A,5,5,27,6,386.706778
P,A,24,31,27,6,36.548420
P,A,25,11,27,6,123.730842
P,A,27,6,27,6,-656.001590
P,A,28,30,28,30,-59.172953
P,A,36,2,28,30,59.172953
P,A,29,37,29,37,-45.496406
P,A,30,25,29,37,45.217288
P,A,29,37,30,25,45.496406
P,A,30,25,30,25,-158.461367
P,A,34,26,30,25,34.031164
P,A,36,2,30,25,76.063033
P,A,31,38,31,38,-67.141204
P,A,33,29,31,38,66.293339
P,A,32,28,32,28,-95.198553
P,A,33,29,32,28,72.639119
P,A,34,26,32,28,22.948739
P,A,31,38,33,29,67.141204
P,A,32,28,33,29,71.992875
P,A,33,29,33,29,-156.532177
P,A,34,26,33,29,17.250472
P,A,30,25,34,26,34.179385
P,A,32,28,34,26,23.205678
P,A,33,29,34,26,17.599719
P,A,34,26,34,26,-148.055133
P,A,35,27,34,26,73.332527
P,A,34,26,35,27,73.824758
P,A,35,27,35,27,-135.006499
P,A,39,17,35,27,61.697029
P,A,2,1,36,2,26.415551
P,A,28,30,36,2,59.172953
P,A,30,25,36,2,79.064693
P,A,36,2,36,2,-233.123666
P,A,37,3,36,2,70.662565
P,A,3,4,37,3,48.334900
P,A,26,18,37,3,79.384393
P,A,36,2,37,3,71.270240
P,A,37,3,37,3,-198.408395
P,A,1,9,38,8,28.093689
P,A,4,7,38,8,214.285675
P,A,5,5,38,8,89.065082
P,A,38,8,38,8,-330.659736
P,A,19,16,39,17,119.328712
P,A,26,18,39,17,128.921734
P,A,35,27,39,17,61.673972
P,A,39,17,39,17,-309.944301
P,A,40,103,40,103,-10.000000
P,A,41,104,40,103,10.000000
P,A,40,103,41,104,10.000000
P,A,41,104,41,104,-49.479686
P,A,43,105,41,104,39.479686
P,A,42,101,42,101,-10.000000
P,A,43,105,42,101,10.000000
P,A,41,104,43,105,39.479686
P,A,42,101,43,105,10.000000
P,A,43,105,43,105,-49.479686
P,V,0,39,0,39,-2.280987
P,V,1,9,0,39,1.779463
P,V,2,1,0,39,0.550236
P,V,0,39,1,9,1.507947
P,V,1,9,1,9,-3.429625
P,V,38,8,1,9,1.815230
P,V,0,39,2,1,2.748527
P,V,2,1,2,1,-3.828255
P,V,36,2,2,1,1.024041
P,V,3,4,3,4,-5.378771
P,V,5,5,3,4,3.268484
P,V,37,3,3,4,2.271325
P,V,4,7,4,7,-23.389612
P,V,27,6,4,7,2.913558
P,V,38,8,4,7,20.578178
P,V,3,4,5,5,6.498048
P,V,5,5,5,5,-40.824761
P,V,27,6,5,5,24.907654
P,V,38,8,5,5,9.412749
P,V,6,32,6,32,-6.611722
P,V,7,10,6,32,6.611722
P,V,6,32,7,10,-6.391206
P,V,7,10,7,10,-43.625215
P,V,23,13,7,10,24.665489
P,V,25,11,7,10,25.029178
P,V,8,12,8,12,-1.583757
P,V,23,13,8,12,0.804952
P,V,25,11,8,12,0.843682
P,V,9,34,9,34,-7.823228
P,V,10,20,9,34,7.633669
P,V,9,34,10,20,-2.261028
P,V,10,20,10,20,0.531852
P,V,12,19,10,20,1.867108
P,V,11,33,11,33,-9.791264
P,V,12,19,11,33,9.653102
P,V,10,20,12,19,5.090761
P,V,11,33,12,19,-2.739351
P,V,12,19,12,19,-10.990737
P,V,19,16,12,19,8.539426
P,V,13,35,13,35,-6.194642
P,V,15,22,13,35,6.194642
P,V,14,36,14,36,-5.984101
P,V,18,23,14,36,5.945840
P,V,13,35,15,22,-6.190630
P,V,15,22,15,22,-11.080847
P,V,16,21,15,22,9.883955
P,V,18,23,15,22,7.151823
P,V,15,22,16,21,-1.537536
P,V,16,21,16,21,-6.058823
P,V,19,16,16,21,7.709476
P,V,17,24,17,24,-7.803087
P,V,18,23,17,24,-1.527388
P,V,19,16,17,24,9.237457
P,V,14,36,18,23,-4.627701
P,V,15,22,18,23,6.432294
P,V,17,24,18,23,5.205457
P,V,18,23,18,23,-6.983717
P,V,12,19,19,16,0.062367
P,V,16,21,19,16,1.312940
P,V,17,24,19,16,8.554260
P,V,19,16,19,16,-34.000242
P,V,21,15,19,16,12.873131
P,V,39,17,19,16,11.091165
P,V,20,102,20,102,-1.541661
P,V,22,14,20,102,1.541661
P,V,19,16,21,15,7.749050
P,V,21,15,21,15,-10.958536
P,V,22,14,21,15,3.504742
P,V,20,102,22,14,-1.523787
P,V,21,15,22,14,4.193695
P,V,22,14,22,14,-8.576017
P,V,23,13,22,14,5.972191
P,V,7,10,23,13,18.887817
P,V,8,12,23,13,0.885058
P,V,22,14,23,13,11.746453
P,V,23,13,23,13,-31.485943
P,V,24,31,24,31,-5.739624
P,V,27,6,24,31,5.739624
P,V,7,10,25,11,18.480956
P,V,8,12,25,11,0.845509
P,V,25,11,25,11,-33.036394
P,V,27,6,25,11,13.752199
P,V,26,18,26,18,-15.496297
P,V,37,3,26,18,6.689811
P,V,39,17,26,18,8.847977
P,V,4,7,27,6,11.177929
P,V,5,5,27,6,34.264591
P,V,24,31,27,6,-5.595131
P,V,25,11,27,6,7.098656
P,V,27,6,27,6,-47.150034
P,V,28,30,28,30,-2.386682
P,V,36,2,28,30,2.386682
P,V,29,37,29,37,-6.398957
P,V,30,25,29,37,6.391608
P,V,29,37,30,25,-3.993543
P,V,30,25,30,25,-62.418579
P,V,34,26,30,25,3.902433
P,V,36,2,30,25,61.443050
P,V,31,38,31,38,-11.451345
P,V,33,29,31,38,11.386342
P,V,32,28,32,28,-6.424968
P,V,33,29,32,28,3.065910
P,V,34,26,32,28,3.342019
P,V,31,38,33,29,-4.614687
P,V,32,28,33,29,9.704937
P,V,33,29,33,29,-8.487936
P,V,34,26,33,29,3.337141
P,V,30,25,34,26,2.500380
P,V,32,28,34,26,0.643771
P,V,33,29,34,26,-0.309421
P,V,34,26,34,26,-12.150196
P,V,35,27,34,26,9.116198
P,V,34,26,35,27,4.261555
P,V,35,27,35,27,-8.440029
P,V,39,17,35,27,4.318039
P,V,2,1,36,2,3.282744
P,V,28,30,36,2,-2.383360
P,V,30,25,36,2,58.428825
P,V,36,2,36,2,-67.810975
P,V,37,3,36,2,9.188989
P,V,3,4,37,3,3.518047
P,V,26,18,37,3,6.043610
P,V,36,2,37,3,2.504317
P,V,37,3,37,3,-12.012501
P,V,1,9,38,8,1.700428
P,V,4,7,38,8,16.799942
P,V,5,5,38,8,3.245665
P,V,38,8,38,8,-21.488531
P,V,19,16,39,17,7.056690
P,V,26,18,39,17,12.489694
P,V,35,27,39,17,4.631505
P,V,39,17,39,17,-24.233049
P,V,40,103,40,103,0.000000
P,V,41,104,40,103,-0.000000
