% Powerflow result exported at 2025-04-29 08:06:57
% BENCHMARK MODEL BASED ON SHANDONG POWER GRID
% SHANDONG UNIVERSITY, LI CHANGGANG
% Bus
BUS,NAME,VBASE/KV,VOLTAGE/PU,ANGLE/DEG,VOLTAGE/KV,ANGLE/RAD
2,"鲁邹县",525.000000,1.001444,-0.172643,525.758064,-0.003013
3,"津海河",1050.000000,1.000949,0.468638,1050.995990,0.008179
4,"冀邢台UH",1050.000000,1.002009,0.029554,1052.109302,0.000516
5,"豫驻马店",1050.000000,0.989108,-0.051387,1038.563176,-0.000897
6,"鲁泉城特",1050.000000,0.999151,0.471357,1049.108715,0.008227
7,"鲁菏泽特",1050.000000,0.993828,-1.474112,1043.519751,-0.025728
8,"鲁枣庄特",1050.000000,1.000028,0.749644,1050.029061,0.013084
9,"鲁高乡特",1050.000000,1.003096,4.583841,1053.250653,0.080003
10,"鲁昌乐特",1050.000000,1.001223,3.712108,1051.283740,0.064789
11,"冀辛安",525.000000,1.001528,11.294398,525.802395,0.197124
12,"鲁泉城",525.000000,0.999237,0.490036,524.599470,0.008553
13,"鲁济南",525.000000,0.998567,1.474211,524.247644,0.025730
14,"鲁华德",525.000000,0.999937,3.862600,524.967082,0.067415
15,"鲁陵县",525.000000,0.997886,1.626679,523.889960,0.028391
16,"鲁惠民",525.000000,0.999325,-0.066009,524.645605,-0.001152
17,"鲁贝州",525.000000,0.997424,3.040557,523.647653,0.053068
18,"鲁德州",525.000000,0.998901,2.087189,524.422763,0.036428
19,"鲁柴府",525.000000,0.997357,3.608638,523.612597,0.062983
20,"鲁闻韶",525.000000,0.997261,1.217991,523.562150,0.021258
21,"鲁聊城",525.000000,0.999106,6.552910,524.530579,0.114370
22,"鲁聊厂",525.000000,0.999232,6.509651,524.596948,0.113615
23,"鲁聊城南",525.000000,0.995356,5.318395,522.562068,0.092823
24,"鲁东阿",525.000000,0.995359,4.389035,522.563595,0.076603
25,"鲁长清",525.000000,0.995090,2.812824,522.422245,0.049093
26,"鲁蟠龙",525.000000,0.996443,1.363602,523.132422,0.023799
27,"鲁龙山",525.000000,0.998266,-0.313476,524.089909,-0.005471
28,"鲁菏泽",525.000000,0.994067,-1.470783,521.885156,-0.025670
29,"鲁枣庄",525.000000,1.000079,0.756639,525.041599,0.013206
30,"鲁枣庄市",525.000000,1.000067,0.540440,525.035392,0.009432
31,"鲁桂陵",525.000000,0.994437,-1.709939,522.079397,-0.029844
32,"鲁郓城",525.000000,0.997418,-2.425701,523.644475,-0.042336
33,"鲁岱宗",525.000000,0.996556,-3.337808,523.191716,-0.058256
34,"鲁泰山",525.000000,1.000371,-2.238749,525.194855,-0.039074
35,"鲁淄川",525.000000,1.003672,-0.693266,526.927585,-0.012100
36,"鲁儒林",525.000000,0.996878,-2.008228,523.361024,-0.035050
37,"鲁新泰",525.000000,0.998074,0.428077,523.989069,0.007471
38,"鲁鲁中",525.000000,0.998141,3.653119,524.024119,0.063759
39,"鲁莱厂",525.000000,1.000011,5.072392,525.005542,0.088530
40,"鲁润泽",525.000000,0.999470,-1.100244,524.721903,-0.019203
41,"鲁文亭",525.000000,0.996358,-2.159890,523.087823,-0.037697
42,"鲁金乡",525.000000,0.999426,-1.344601,524.698644,-0.023468
43,"鲁嘉祥",525.000000,1.000461,-0.765998,525.241771,-0.013369
44,"鲁汶上",525.000000,1.000357,-1.524388,525.187311,-0.026606
45,"鲁运河",525.000000,1.000438,-1.262902,525.229863,-0.022042
46,"鲁峄城",525.000000,1.001962,1.396912,526.030001,0.024381
48,"鲁沂南特",1050.000000,1.004911,5.427217,1055.156728,0.094723
49,"鲁高乡",525.000000,1.003074,4.586471,526.614033,0.080049
50,"鲁日照",525.000000,1.001540,4.642597,525.808647,0.081029
51,"鲁巨峰",525.000000,1.000823,4.726492,525.432025,0.082493
52,"鲁莒南",525.000000,1.001847,3.827632,525.969627,0.066805
53,"鲁兰陵",525.000000,1.001108,2.244350,525.581716,0.039171
54,"鲁沂蒙",525.000000,1.002039,2.732451,526.070439,0.047690
55,"鲁沂南",525.000000,1.004723,5.970223,527.479587,0.104200
56,"鲁蒙抽",525.000000,1.001396,3.856762,525.733086,0.067313
57,"鲁广固特",1050.000000,1.004611,5.068573,1054.841819,0.088463
59,"鲁昌乐",525.000000,1.001235,3.659379,525.648136,0.063868
60,"鲁潍坊",525.000000,0.998605,2.465015,524.267376,0.043023
61,"鲁广固",525.000000,1.000617,3.314214,525.324066,0.057844
62,"鲁临淄",525.000000,0.998828,2.904873,524.384443,0.050700
63,"鲁淄博",525.000000,0.996143,1.654244,522.974853,0.028872
64,"鲁益都",525.000000,0.999550,2.425950,524.763810,0.042341
65,"鲁管仲",525.000000,1.002919,0.335221,526.532522,0.005851
66,"鲁乔官",525.000000,1.001594,3.152617,525.836707,0.055024
67,"鲁临朐",525.000000,1.001306,3.116086,525.685580,0.054386
68,"鲁密州",525.000000,1.001393,3.686166,525.731464,0.064336
69,"鲁琅琊",525.000000,1.001048,4.842366,525.550177,0.084515
70,"鲁莱州",525.000000,0.999881,7.321598,524.937769,0.127786
71,"鲁光州",525.000000,0.997453,5.204969,523.662782,0.090844
72,"鲁栖霞",525.000000,0.998037,8.303206,523.969324,0.144918
73,"鲁牟平",525.000000,0.996208,10.519169,523.009072,0.183594
74,"鲁昆嵛",525.000000,0.998665,14.680325,524.299243,0.256220
75,"鲁抽蓄",525.000000,0.998989,15.331186,524.469193,0.267580
76,"鲁大泽",525.000000,1.000841,3.806266,525.441268,0.066432
77,"鲁莱阳",525.000000,0.996740,3.754429,523.288485,0.065527
78,"鲁海阳",525.000000,1.001544,4.933119,525.810800,0.086099
79,"鲁即墨",525.000000,1.000063,3.723569,525.032932,0.064989
80,"鲁崂山",525.000000,0.999648,3.774399,524.815324,0.065876
81,"鲁胶东",525.000000,1.001418,5.368635,525.744423,0.093700
82,"鲁官亭",525.000000,1.001432,3.591938,525.751860,0.062691
83,"冀黄骅",525.000000,1.000767,6.231532,525.402917,0.108761
84,"鲁滨州",525.000000,0.998314,1.457269,524.114919,0.025434
85,"鲁富国",525.000000,0.996360,0.762417,523.088819,0.013307
86,"鲁海口",525.000000,0.995565,1.121325,522.671648,0.019571
87,"鲁东电",525.000000,0.998616,1.976655,524.273259,0.034499
88,"鲁垦东",525.000000,0.997724,1.155876,523.805238,0.020174
89,"鲁油城",525.000000,0.999048,1.628952,524.499961,0.028431
90,"鲁高青",525.000000,0.998959,0.294490,524.453311,0.005140
91,"鲁博厂",525.000000,1.000731,2.134724,525.383986,0.037258
92,"鲁寿光",525.000000,0.997383,4.037365,523.626247,0.070465
93,"鲁寿电",525.000000,0.999380,5.753468,524.674685,0.100417
94,"宁银川换",345.000000,0.978005,-2.344028,337.411674,-0.040911
102,"鲁邹县G",20.000000,1.000000,0.000000,20.000000,0.000000
104,"冀石家庄",20.000000,1.000000,0.372642,20.000000,0.006504
105,"国驻马G",20.000000,1.000000,0.296175,20.000000,0.005169
111,"冀辛安G",20.000000,1.000000,12.152555,20.000000,0.212102
112,"鲁泉城G",20.000000,1.000000,1.350161,20.000000,0.023565
114,"鲁华德G",20.000000,1.000000,4.722123,20.000000,0.082417
122,"鲁聊厂G",20.000000,1.000000,7.255089,20.000000,0.126625
128,"国菏泽G",20.000000,1.000000,-0.894396,20.000000,-0.015610
129,"国枣庄G",20.000000,1.000000,1.329560,20.000000,0.023205
139,"鲁莱芜厂",20.000000,1.000000,5.931852,20.000000,0.103530
140,"鲁润泽G",20.000000,1.000000,-0.360716,20.000000,-0.006296
143,"鲁嘉祥G",20.000000,1.000000,-0.388017,20.000000,-0.006772
145,"鲁运河G",20.000000,1.000000,-0.884913,20.000000,-0.015445
156,"鲁蒙抽G",13.000000,1.000000,4.543369,13.000000,0.079297
170,"鲁莱州G",20.000000,1.000000,8.181169,20.000000,0.142788
175,"鲁抽蓄G",13.000000,1.000000,16.363609,13.000000,0.285599
178,"鲁海阳G",20.000000,1.000000,5.802706,20.000000,0.101276
183,"冀黄骅G",20.000000,1.000000,7.090342,20.000000,0.123750
187,"鲁东电G",20.000000,1.000000,2.550416,20.000000,0.044513
191,"鲁博厂G",20.000000,1.000000,2.707273,20.000000,0.047251
193,"鲁寿电G",20.000000,1.000000,6.900171,20.000000,0.120431
194,"宁银川G",20.000000,1.000000,0.000000,20.000000,0.000000
201,"蒙扎鲁特",525.000000,0.998143,-6.904989,524.024992,-0.120515
