ROW_TYPE,COLUMN_TYPE,ROW,ROW_BUS,COLUMN,COLUMN_BUS,VALUE
P,A,0,57,0,57,-1648.418231
P,A,1,10,0,57,1646.499682
P,A,0,57,1,10,1648.418231
P,A,1,10,1,10,-32797.793167
P,A,50,9,1,10,689.943215
P,A,53,6,1,10,387.071961
P,A,120,59,1,10,30073.747213
P,A,2,3,2,3,-527.388864
P,A,53,6,2,3,527.390185
P,A,3,105,3,105,-989.089588
P,A,4,5,3,105,989.089588
P,A,3,105,4,5,989.089588
P,A,4,5,4,5,-1232.016002
P,A,9,7,4,5,242.598490
P,A,5,104,5,104,-1001.990895
P,A,6,4,5,104,1001.990895
P,A,5,104,6,4,1001.990895
P,A,6,4,6,4,-1786.758980
P,A,9,7,6,4,351.268961
P,A,53,6,6,4,433.183537
P,A,7,128,7,128,-994.016665
P,A,8,28,7,128,994.016665
P,A,7,128,8,28,994.016665
P,A,8,28,8,28,-32624.339910
P,A,9,7,8,28,29637.957417
P,A,23,31,8,28,1991.525975
P,A,4,5,9,7,242.926414
P,A,6,4,9,7,351.758036
P,A,8,28,9,7,29637.957417
P,A,9,7,9,7,-30564.388209
P,A,10,8,9,7,333.344291
P,A,9,7,10,8,332.563341
P,A,10,8,10,8,-31108.471656
P,A,50,9,10,8,447.313005
P,A,51,29,10,8,30003.207236
P,A,53,6,10,8,326.260710
P,A,11,140,11,140,-999.387039
P,A,21,40,11,140,999.387039
P,A,12,41,12,41,-489.525946
P,A,17,42,12,41,152.108612
P,A,21,40,12,41,338.275336
P,A,13,145,13,145,-1000.416063
P,A,14,45,13,145,1000.416063
P,A,13,145,14,45,1000.416063
P,A,14,45,14,45,-2445.115116
P,A,22,44,14,45,1443.839307
P,A,15,143,15,143,-1000.438745
P,A,16,43,15,143,1000.438745
P,A,15,143,16,43,1000.438745
P,A,16,43,16,43,-1529.292390
P,A,17,42,16,43,245.671690
P,A,22,44,16,43,282.258437
P,A,12,41,17,42,151.803488
P,A,16,43,17,42,245.891780
P,A,17,42,17,42,-767.027486
P,A,18,30,17,42,235.769380
P,A,22,44,17,42,134.107186
P,A,17,42,18,30,235.092414
P,A,18,30,18,30,-2320.244084
P,A,51,29,18,30,1997.385167
P,A,52,54,18,30,88.173648
P,A,19,33,19,33,-398.436476
P,A,20,32,19,33,127.076486
P,A,56,34,19,33,272.519008
P,A,19,33,20,32,126.749254
P,A,20,32,20,32,-988.434372
P,A,21,40,20,32,203.932344
P,A,22,44,20,32,250.519876
P,A,23,31,20,32,319.662948
P,A,56,34,20,32,89.326845
P,A,11,140,21,40,999.387039
P,A,12,41,21,40,337.722458
P,A,20,32,21,40,203.255242
P,A,21,40,21,40,-1710.171333
P,A,23,31,21,40,168.320098
P,A,14,45,22,44,1444.699053
P,A,16,43,22,44,282.961865
P,A,17,42,22,44,134.154769
P,A,20,32,22,44,249.742816
P,A,22,44,22,44,-2320.352075
P,A,56,34,22,44,209.225961
P,A,8,28,23,31,1992.365828
P,A,20,32,23,31,319.094684
P,A,21,40,23,31,168.576614
P,A,23,31,23,31,-2479.509021
P,A,24,102,24,102,-1001.439385
P,A,54,2,24,102,1001.439385
P,A,25,325,25,325,-1000.346661
P,A,56,34,25,325,1000.346661
P,A,26,36,26,36,-383.708425
P,A,54,2,26,36,216.767195
P,A,56,34,26,36,167.841833
P,A,27,48,27,48,-2651.593943
P,A,50,9,27,48,2649.540347
P,A,28,314,28,314,-1000.750962
P,A,29,51,28,314,1000.750962
P,A,28,314,29,51,1000.750962
P,A,29,51,29,51,-1704.924526
P,A,31,49,29,51,355.196818
P,A,38,52,29,51,348.420204
P,A,30,323,30,323,-1001.490355
P,A,41,50,30,323,1001.490355
P,A,29,51,31,49,355.276859
P,A,31,49,31,49,-31150.005108
P,A,41,50,31,49,609.470938
P,A,50,9,31,49,30185.391789
P,A,32,129,32,129,-1000.029239
P,A,51,29,32,129,1000.029239
P,A,33,316,33,316,-1001.091803
P,A,37,53,33,316,1001.091803
P,A,34,46,34,46,-601.273950
P,A,37,53,34,46,322.613146
P,A,51,29,34,46,278.797247
P,A,35,156,35,156,-1001.324451
P,A,36,56,35,156,1001.324451
P,A,35,156,36,56,1001.324451
P,A,36,56,36,56,-1614.611662
P,A,52,54,36,56,611.591223
P,A,33,316,37,53,1001.091803
P,A,34,46,37,53,322.198457
P,A,37,53,37,53,-1841.455039
P,A,38,52,37,53,253.949798
P,A,52,54,37,53,264.618755
P,A,29,51,38,52,348.896705
P,A,37,53,38,52,253.327809
P,A,38,52,38,52,-868.585322
P,A,48,55,38,52,267.089726
P,A,39,317,39,317,-1001.007946
P,A,40,69,39,317,1001.007946
P,A,39,317,40,69,1001.007946
P,A,40,69,40,69,-2052.273682
P,A,41,50,40,69,216.206844
P,A,49,68,40,69,361.109335
P,A,124,81,40,69,473.564514
P,A,30,323,41,50,1001.490355
P,A,31,49,41,50,609.416501
P,A,40,69,41,50,216.331967
P,A,41,50,41,50,-2055.921068
P,A,48,55,41,50,127.196158
P,A,52,54,41,50,101.410858
P,A,42,139,42,139,-999.898051
P,A,44,39,42,139,999.898051
P,A,43,321,43,321,-998.119358
P,A,45,38,43,321,998.119358
P,A,42,139,44,39,999.898051
P,A,44,39,44,39,-1602.554996
P,A,45,38,44,39,600.489002
P,A,43,321,45,38,998.119358
P,A,44,39,45,38,602.656945
P,A,45,38,45,38,-2001.747822
P,A,46,37,45,38,137.311056
P,A,47,67,45,38,162.351536
P,A,48,55,45,38,102.651341
P,A,45,38,46,37,138.282964
P,A,46,37,46,37,-591.754328
P,A,51,29,46,37,333.278329
P,A,54,2,46,37,121.170050
P,A,45,38,47,67,162.570499
P,A,47,67,47,67,-563.718150
P,A,49,68,47,67,122.342744
P,A,120,59,47,67,279.575268
P,A,38,52,48,55,266.215319
P,A,41,50,48,55,126.830538
P,A,45,38,48,55,102.285999
P,A,48,55,48,55,-710.897575
P,A,49,68,48,55,81.097280
P,A,52,54,48,55,131.667311
P,A,40,69,49,68,361.998302
P,A,47,67,49,68,122.169816
P,A,48,55,49,68,81.385895
P,A,49,68,49,68,-966.435780
P,A,120,59,49,68,401.869820
P,A,1,10,50,9,689.366245
P,A,10,8,50,9,445.576549
P,A,27,48,50,9,2651.593943
P,A,31,49,50,9,30185.391789
P,A,50,9,50,9,-33972.188356
P,A,10,8,51,29,30003.207236
P,A,18,30,51,29,1996.782305
P,A,32,129,51,29,1000.029239
P,A,34,46,51,29,279.075492
P,A,46,37,51,29,333.112180
P,A,51,29,51,29,-33612.697218
P,A,18,30,52,54,87.692399
P,A,36,56,52,54,613.287211
P,A,37,53,52,54,264.422281
P,A,41,50,52,54,101.922394
P,A,48,55,52,54,132.574455
P,A,52,54,52,54,-1260.801833
P,A,54,2,52,54,62.885972
P,A,1,10,53,6,388.180027
P,A,2,3,53,6,527.388864
P,A,6,4,53,6,433.010049
P,A,10,8,53,6,326.343579
P,A,53,6,53,6,-31625.571522
P,A,118,12,53,6,29951.665129
P,A,24,102,54,2,1001.439385
P,A,26,36,54,2,215.770584
P,A,46,37,54,2,121.331092
P,A,52,54,54,2,63.340039
P,A,54,2,54,2,-1453.295525
P,A,119,35,54,2,50.938411
P,A,55,27,55,27,-683.109012
P,A,56,34,55,27,90.756937
P,A,118,12,55,27,307.892657
P,A,125,13,55,27,285.343180
P,A,19,33,56,34,271.687222
P,A,20,32,56,34,89.265143
P,A,22,44,56,34,209.627270
P,A,25,325,56,34,1000.346661
P,A,26,36,56,34,167.937841
P,A,55,27,56,34,91.024554
P,A,56,34,56,34,-2025.251526
P,A,119,35,56,34,195.989010
P,A,57,320,57,320,-998.789620
P,A,58,62,57,320,998.789620
P,A,57,320,58,62,998.789620
P,A,58,62,58,62,-2684.854577
P,A,59,63,58,62,238.113702
P,A,60,61,58,62,1338.996367
P,A,121,60,58,62,108.736435
P,A,58,62,59,63,239.122766
P,A,59,63,59,63,-710.988061
P,A,60,61,59,63,208.302490
P,A,125,13,59,63,264.943844
P,A,58,62,60,61,1338.097811
P,A,59,63,60,61,207.772750
P,A,60,61,60,61,-3052.884879
P,A,61,64,60,61,1503.476058
P,A,60,61,61,64,1505.586022
P,A,61,64,61,64,-1895.971525
P,A,63,65,61,64,243.671163
