ROW_TYPE,COLUMN_TYPE,ROW,ROW_BUS,COLUMN,COLUMN_BUS,VALUE
P,A,0,39,0,39,-82.268371
P,A,1,9,0,39,41.134185
P,A,2,1,0,39,41.134185
P,A,0,39,1,9,41.134185
P,A,1,9,1,9,-68.572242
P,A,38,8,1,9,27.438057
P,A,0,39,2,1,41.134185
P,A,2,1,2,1,-65.289910
P,A,36,2,2,1,24.155725
P,A,3,4,3,4,-124.595134
P,A,5,5,3,4,77.821012
P,A,37,3,3,4,46.774123
P,A,4,7,4,7,-323.995144
P,A,27,6,4,7,108.235294
P,A,38,8,4,7,215.759850
P,A,3,4,5,5,77.821012
P,A,5,5,5,5,-549.006440
P,A,27,6,5,5,382.352941
P,A,38,8,5,5,88.832487
P,A,6,32,6,32,-45.939252
P,A,7,10,6,32,45.939252
P,A,6,32,7,10,45.939252
P,A,7,10,7,10,-507.065258
P,A,23,13,7,10,230.563003
P,A,25,11,7,10,230.563003
P,A,8,12,8,12,-45.641048
P,A,23,13,8,12,22.820524
P,A,25,11,8,12,22.820524
P,A,9,34,9,34,-55.598258
P,A,10,20,9,34,55.598258
P,A,9,34,10,20,55.598258
P,A,10,20,10,20,-123.784860
P,A,12,19,10,20,68.186602
P,A,11,33,11,33,-65.472068
P,A,12,19,11,33,65.472068
P,A,10,20,12,19,68.186602
P,A,11,33,12,19,65.472068
P,A,12,19,12,19,-184.597778
P,A,19,16,12,19,50.939108
P,A,13,35,13,35,-71.587924
P,A,15,22,13,35,71.587924
P,A,14,36,14,36,-39.086057
P,A,18,23,14,36,39.086057
P,A,13,35,15,22,71.587924
P,A,15,22,15,22,-246.545368
P,A,16,21,15,22,71.196094
P,A,18,23,15,22,103.761349
P,A,15,22,16,21,71.196094
P,A,16,21,16,21,-145.010956
P,A,19,16,16,21,73.814861
P,A,17,24,17,24,-197.513428
P,A,18,23,17,24,28.458987
P,A,19,16,17,24,169.054441
P,A,14,36,18,23,39.086057
P,A,15,22,18,23,103.761349
P,A,17,24,18,23,28.458987
P,A,18,23,18,23,-171.306393
P,A,12,19,19,16,50.939108
P,A,16,21,19,16,73.814861
P,A,17,24,19,16,169.054441
P,A,19,16,19,16,-510.893789
P,A,21,15,19,16,105.416620
P,A,39,17,19,16,111.668758
P,A,20,102,20,102,-10.000000
P,A,22,14,20,102,10.000000
P,A,19,16,21,15,105.416620
P,A,21,15,21,15,-151.184658
P,A,22,14,21,15,45.768038
P,A,20,102,22,14,10.000000
P,A,21,15,22,14,45.768038
P,A,22,14,22,14,-153.997955
P,A,23,13,22,14,98.229916
P,A,7,10,23,13,230.563003
P,A,8,12,23,13,22.820524
P,A,22,14,23,13,98.229916
P,A,23,13,23,13,-351.613443
P,A,24,31,24,31,-36.710280
P,A,27,6,24,31,36.710280
P,A,7,10,25,11,230.563003
P,A,8,12,25,11,22.820524
P,A,25,11,25,11,-374.452477
P,A,27,6,25,11,121.068950
P,A,26,18,26,18,-195.746098
P,A,37,3,26,18,74.677148
P,A,39,17,26,18,121.068950
P,A,4,7,27,6,108.235294
P,A,5,5,27,6,382.352941
P,A,24,31,27,6,36.710280
P,A,25,11,27,6,121.068950
P,A,27,6,27,6,-648.367466
P,A,28,30,28,30,-56.461393
P,A,36,2,28,30,56.461393
P,A,29,37,29,37,-43.192305
P,A,30,25,29,37,43.192305
P,A,29,37,30,25,43.192305
P,A,30,25,30,25,-143.792582
P,A,34,26,30,25,30.658833
P,A,36,2,30,25,69.941444
P,A,31,38,31,38,-64.027989
P,A,33,29,31,38,64.027989
P,A,32,28,32,28,-86.585581
P,A,33,29,32,28,65.660738
P,A,34,26,32,28,20.924843
P,A,31,38,33,29,64.027989
P,A,32,28,33,29,65.660738
P,A,33,29,33,29,-145.556746
P,A,34,26,33,29,15.868019
P,A,30,25,34,26,30.658833
P,A,32,28,34,26,20.924843
P,A,33,29,34,26,15.868019
P,A,34,26,34,26,-134.867424
P,A,35,27,34,26,67.415730
P,A,34,26,35,27,67.415730
P,A,35,27,35,27,-124.894633
P,A,39,17,35,27,57.478902
P,A,2,1,36,2,24.155725
P,A,28,30,36,2,56.461393
P,A,30,25,36,2,69.941444
P,A,36,2,36,2,-216.296482
P,A,37,3,36,2,65.737919
P,A,3,4,37,3,46.774123
P,A,26,18,37,3,74.677148
P,A,36,2,37,3,65.737919
P,A,37,3,37,3,-187.189189
P,A,1,9,38,8,27.438057
P,A,4,7,38,8,215.759850
P,A,5,5,38,8,88.832487
P,A,38,8,38,8,-332.030394
P,A,19,16,39,17,111.668758
P,A,26,18,39,17,121.068950
P,A,35,27,39,17,57.478902
P,A,39,17,39,17,-290.216610
P,A,40,103,40,103,-10.000000
P,A,41,104,40,103,10.000000
P,A,40,103,41,104,10.000000
P,A,41,104,41,104,-49.479686
P,A,43,105,41,104,39.479686
P,A,42,101,42,101,-10.000000
P,A,43,105,42,101,10.000000
P,A,41,104,43,105,39.479686
P,A,42,101,43,105,10.000000
P,A,43,105,43,105,-49.479686
P,V,0,39,0,39,-3.386581
P,V,1,9,0,39,1.597444
P,V,2,1,0,39,1.597444
P,V,0,39,1,9,1.645367
P,V,1,9,1,9,-3.288020
P,V,38,8,1,9,1.738499
P,V,0,39,2,1,1.645367
P,V,2,1,2,1,-3.606578
P,V,36,2,2,1,2.057057
P,V,3,4,3,4,-7.718572
P,V,5,5,3,4,4.863813
P,V,37,3,3,4,2.854759
P,V,4,7,4,7,-25.820550
P,V,27,6,4,7,7.058824
P,V,38,8,4,7,18.761726
P,V,3,4,5,5,4.863813
P,V,5,5,5,5,-40.620756
