ROW_TYPE,COLUMN_TYPE,ROW,ROW_BUS,COLUMN,COLUMN_BUS,VALUE
P,A,0,39,0,39,-85.273942
P,A,1,9,0,39,42.259647
P,A,2,1,0,39,43.095644
P,A,0,39,1,9,42.270884
P,A,1,9,1,9,-70.296842
P,A,4,8,1,9,28.026395
P,A,0,39,2,1,43.003058
P,A,2,1,2,1,-69.455654
P,A,35,2,2,1,26.562275
P,A,3,7,3,7,-321.667475
P,A,4,8,3,7,213.336803
P,A,12,6,3,7,108.546707
P,A,1,9,4,8,28.037194
P,A,3,7,4,8,213.665854
P,A,4,8,4,8,-329.715004
P,A,5,5,4,8,88.796758
P,A,4,8,5,5,88.351806
P,A,5,5,5,5,-552.616941
P,A,12,6,5,5,386.258765
P,A,38,4,5,5,78.087840
P,A,6,32,6,32,-46.193091
P,A,7,10,6,32,46.193091
P,A,6,32,7,10,46.193091
P,A,7,10,7,10,-520.422681
P,A,9,13,7,10,236.702226
P,A,11,11,7,10,236.349679
P,A,8,12,8,12,-46.087052
P,A,9,13,8,12,23.061196
P,A,11,11,8,12,23.029722
P,A,7,10,9,13,237.252674
P,A,8,12,9,13,23.057770
P,A,9,13,9,13,-360.316619
P,A,33,14,9,13,100.031170
P,A,10,31,10,31,-36.492896
P,A,12,6,10,31,36.492896
P,A,7,10,11,11,236.976915
P,A,8,12,11,11,23.029282
P,A,11,11,11,11,-382.738394
P,A,12,6,11,11,122.780704
P,A,3,7,12,6,108.001621
P,A,5,5,12,6,385.529149
P,A,10,31,12,6,36.492896
P,A,11,11,12,6,123.358994
P,A,12,6,12,6,-654.079073
P,A,13,34,13,34,-55.052754
P,A,14,20,13,34,54.554679
P,A,13,34,14,20,55.052754
P,A,14,20,14,20,-125.161814
P,A,16,19,14,20,70.784766
P,A,15,33,15,33,-68.627092
P,A,16,19,15,33,68.011476
P,A,14,20,16,19,70.607134
P,A,15,33,16,19,68.627092
P,A,16,19,16,19,-193.762510
P,A,23,16,16,19,54.238566
P,A,17,35,17,35,-74.184886
P,A,19,22,17,35,74.184886
P,A,18,36,18,36,-38.217484
P,A,22,23,18,36,38.011672
P,A,17,35,19,22,74.184886
P,A,19,22,19,22,-261.111044
P,A,20,21,19,22,75.270594
P,A,22,23,19,22,110.927995
P,A,19,22,20,21,75.956613
P,A,20,21,20,21,-152.987036
P,A,23,16,20,21,77.322770
P,A,21,24,21,24,-208.480594
P,A,22,23,21,24,30.152247
P,A,23,16,21,24,178.731863
P,A,18,36,22,23,38.217484
P,A,19,22,22,23,110.969545
P,A,21,24,22,23,29.710250
P,A,22,23,22,23,-179.091914
P,A,16,19,23,16,54.966268
P,A,20,21,23,16,77.716442
P,A,21,24,23,16,178.770344
P,A,23,16,23,16,-538.002176
P,A,24,15,23,16,109.066419
P,A,37,17,23,16,117.794127
P,A,23,16,24,15,109.586584
P,A,24,15,24,15,-155.716943
P,A,33,14,24,15,46.706059
P,A,25,30,25,30,-59.083747
P,A,35,2,25,30,59.083747
P,A,26,37,26,37,-45.328986
P,A,27,25,26,37,45.049862
P,A,26,37,27,25,45.328986
P,A,27,25,27,25,-157.914739
P,A,31,26,27,25,33.891167
P,A,35,2,27,25,75.799536
P,A,28,38,28,38,-67.084172
P,A,30,29,28,38,66.236611
P,A,29,28,29,28,-94.964951
P,A,30,29,29,28,72.488735
P,A,31,26,29,28,22.865485
P,A,28,38,30,29,67.084172
P,A,29,28,30,29,71.842917
P,A,30,29,30,29,-156.268243
P,A,31,26,30,29,17.194153
P,A,27,25,31,26,34.039116
P,A,29,28,31,26,23.122034
P,A,30,29,31,26,17.542897
P,A,31,26,31,26,-147.352075
P,A,32,27,31,26,72.910151
P,A,31,26,32,27,73.401271
P,A,32,27,32,27,-134.103401
P,A,37,17,32,27,61.216954
P,A,9,13,33,14,100.553197
P,A,24,15,33,14,46.650524
P,A,33,14,33,14,-224.893185
P,A,38,4,33,14,77.835118
P,A,34,18,34,18,-206.746188
P,A,36,3,34,18,78.824172
P,A,37,17,34,18,128.189939
P,A,2,1,35,2,26.360010
P,A,25,30,35,2,59.083747
P,A,27,25,35,2,78.825761
P,A,35,2,35,2,-232.423677
P,A,36,3,35,2,70.371781
P,A,34,18,36,3,78.880821
P,A,35,2,36,3,70.978119
P,A,36,3,36,3,-197.376680
P,A,38,4,36,3,48.098787
P,A,23,16,37,17,118.122393
P,A,32,27,37,17,61.193250
P,A,34,18,37,17,127.865368
P,A,37,17,37,17,-307.201019
P,A,5,5,38,4,78.291035
P,A,33,14,38,4,78.155957
P,A,36,3,38,4,48.180727
P,A,38,4,38,4,-204.021745
P,V,0,39,0,39,-2.281026
P,V,1,9,0,39,1.777735
P,V,2,1,0,39,0.548200
P,V,0,39,1,9,1.508662
P,V,1,9,1,9,-3.427692
P,V,4,8,1,9,1.811519
P,V,0,39,2,1,2.750215
P,V,2,1,2,1,-3.826033
P,V,35,2,2,1,1.018012
P,V,3,7,3,7,-23.348637
P,V,4,8,3,7,20.555090
P,V,12,6,3,7,2.896131
P,V,1,9,4,8,1.700594
P,V,3,7,4,8,16.768910
P,V,4,8,4,8,-21.442388
P,V,5,5,4,8,3.230489
P,V,4,8,5,5,9.409114
P,V,5,5,5,5,-40.760143
P,V,12,6,5,5,24.856353
P,V,38,4,5,5,6.490124
P,V,6,32,6,32,-6.611738
P,V,7,10,6,32,6.611738
P,V,6,32,7,10,-6.401219
P,V,7,10,7,10,-43.557388
P,V,9,13,7,10,24.623100
P,V,11,11,7,10,25.000783
P,V,8,12,8,12,-1.580609
P,V,9,13,8,12,0.803018
P,V,11,11,8,12,0.842584
P,V,7,10,9,13,18.854228
P,V,8,12,9,13,0.883890
P,V,9,13,9,13,-31.426524
P,V,33,14,9,13,11.722134
